a_o,mes,nacionalidad,codigo_iso_3166,femenino,masculino,total,latitud_longitud
2014,Octubre,San  Vicente y las Granadinas,670,1,1,2,"(12.586067,-81.702563)"
2012,Octubre,Venezuela,862,20,12,32,"(12.586067,-81.702563)"
2023,Enero,Luxemburgo,442,0,1,1,"(3.541112,-76.384584)"
2017,Agosto,República de Corea,410,0,1,1,"(10.408582,-75.538003)"
2022,Marzo,Estados Unidos de América,840,1,3,4,"(0.25129,-76.875963)"
2017,Junio,Venezuela,862,1,1,2,"(-4.223468,-69.945098)"
2014,Diciembre,Rumania,642,35,60,95,"(4.697144,-74.140516)"
2023,Enero,Bélgica,56,1,1,2,"(-4.223468,-69.945098)"
2017,Junio,Chile,152,1,5,6,"(4.815061,-75.736532)"
2015,Febrero,España,724,1,1,2,"(7.128456,-73.183637)"
2022,Octubre,Italia,380,0,9,9,"(4.815061,-75.736532)"
2015,Febrero,Suecia,752,1,3,4,"(10.886611,-74.776708)"
2018,Octubre,Países Bajos,528,1574,2123,3697,"(4.697144,-74.140516)"
2012,Septiembre,Haití,332,0,1,1,"(6.171601,-75.427454)"
2023,Enero,Estados Unidos de América,840,1,2,3,"(7.088729,-70.740253)"
2017,Febrero,Taiwán,158,8,14,22,"(6.171601,-75.427454)"
2017,Mayo,Argentina,32,17,21,38,"(10.886611,-74.776708)"
2018,Enero,Argentina,32,2164,1559,3723,"(10.445761,-75.516429)"
2017,Abril,Indonesia,360,0,4,4,"(10.971302,-74.765397)"
2012,Febrero,Turquía,792,0,4,4,"(7.818934,-72.453226)"
2012,Enero,Costa Rica,188,3,4,7,"(7.128456,-73.183637)"
2012,Noviembre,Bolivia,68,0,4,4,"(11.360009,-72.129330)"
2023,Febrero,Polonia,616,2,4,6,"(-4.197703,-69.941278)"
2017,Mayo,Cuba,192,16,18,34,"(3.541112,-76.384584)"
2017,Enero,Canadá,124,30,42,72,"(0.814836,-77.662532)"
2022,Junio,Italia,380,601,1319,1920,"(4.697144,-74.140516)"
2019,Mayo,Tailandia,764,2,3,5,"(6.171601,-75.427454)"
2012,Enero,Estados Unidos de América,840,1,0,1,"(7.088729,-70.740253)"
2022,Febrero,México,484,3,5,8,"(7.927209,-72.507910)"
2014,Septiembre,Bolivia,68,2,1,3,"(10.886611,-74.776708)"
2019,Julio,Egipto,818,0,1,1,"(0.814836,-77.662532)"
2016,Abril,Bolivia,68,13,9,22,"(10.408582,-75.538003)"
2022,Agosto,República Checa,203,1,1,2,"(1.813928,-78.763924)"
2020,Enero,España,724,32,58,90,"(7.818934,-72.453226)"
2019,Diciembre,Filipinas,608,0,20,20,"(10.971302,-74.765397)"
2013,Febrero,Paraguay,600,25,17,42,"(10.445761,-75.516429)"
2018,Julio,República Democrática Popular  Lao,418,1,2,3,"(4.697144,-74.140516)"
2014,Noviembre,Brasil,76,1,2,3,"(-4.223468,-69.945098)"
2015,Mayo,República Checa,203,11,4,15,"(10.445761,-75.516429)"
2023,Marzo,Federación de Rusia,643,2,2,4,"(11.117806,-74.232622)"
2019,Mayo,Alemania,276,85,119,204,"(10.445761,-75.516429)"
2016,Marzo,Líbano,422,0,2,2,"(10.886611,-74.776708)"
2019,Mayo,Finlandia,246,34,44,78,"(4.697144,-74.140516)"
2012,Septiembre,Guyana,328,0,1,1,"(4.815061,-75.736532)"
2015,Junio,Lesoto,426,2,0,2,"(4.697144,-74.140516)"
2023,Junio,República de Irlanda,372,1,2,3,"(10.408582,-75.538003)"
2021,Septiembre,Suiza,756,13,57,70,"(6.171601,-75.427454)"
2015,Septiembre,Alemania,276,9,13,22,"(-4.197703,-69.941278)"
2012,Enero,Alemania,276,0,1,1,"(3.893038,-77.067921)"
2016,Abril,Guinea,324,0,1,1,"(4.697144,-74.140516)"
2020,Diciembre,Bangladesh,50,0,1,1,"(11.247723,-74.213989)"
2022,Noviembre,Indonesia,360,2,0,2,"(3.541112,-76.384584)"
2022,Marzo,Belice,84,1,0,1,"(10.886611,-74.776708)"
2022,Diciembre,San  Vicente y las Granadinas,670,1,2,3,"(3.541112,-76.384584)"
2016,Febrero,Andorra,20,1,11,12,"(4.697144,-74.140516)"
2016,Septiembre,Austria,40,3,3,6,"(8.635765,-77.346578)"
2013,Febrero,Granada,308,1,0,1,"(4.697144,-74.140516)"
2017,Septiembre,Uruguay,858,0,1,1,"(11.360009,-72.129330)"
2017,Junio,Bolivia,68,3,2,5,"(-4.197703,-69.941278)"
2018,Noviembre,Eslovaquia,703,56,61,117,"(4.697144,-74.140516)"
2016,Septiembre,Malasia,458,14,33,47,"(4.697144,-74.140516)"
2021,Febrero,India,356,0,1,1,"(4.815061,-75.736532)"
2014,Febrero,Ucrania,804,0,2,2,"(3.893038,-77.067921)"
2017,Octubre,Japón,392,0,1,1,"(7.818934,-72.453226)"
2017,Octubre,Dinamarca,208,2,3,5,"(12.5744111,-81.703935)"
2015,Diciembre,Reino Unido de Gran Bretaña e Irlanda del Norte,826,52,109,161,"(3.541112,-76.384584)"
2019,Febrero,Filipinas,608,6,72,78,"(10.408582,-75.538003)"
2022,Enero,Israel,376,251,453,704,"(4.697144,-74.140516)"
2017,Enero,Países Bajos,528,0,3,3,"(10.971302,-74.765397)"
2014,Agosto,Pakistán,586,0,1,1,"(10.408582,-75.538003)"
2013,Agosto,Kenia,404,0,2,2,"(3.541112,-76.384584)"
2014,Octubre,Francia,250,39,58,97,"(0.814836,-77.662532)"
2020,Enero,Chile,152,655,433,1088,"(10.445761,-75.516429)"
2019,Septiembre,República de Moldavia,498,5,3,8,"(4.697144,-74.140516)"
2015,Mayo,República Dominicana,214,7,10,17,"(12.586067,-81.702563)"
2014,Julio,Australia,36,38,43,81,"(0.814836,-77.662532)"
2020,Diciembre,Georgia,268,0,1,1,"(10.408582,-75.538003)"
2013,Marzo,Grecia,300,0,2,2,"(7.818934,-72.453226)"
2013,Marzo,Bahamas,44,0,1,1,"(10.445761,-75.516429)"
2022,Febrero,Jamaica,388,11,10,21,"(10.445761,-75.516429)"
2019,Septiembre,Kazajistán,398,1,1,2,"(10.445761,-75.516429)"
2013,Abril,Costa Rica,188,1,1,2,"(4.452882,-75.766298)"
2023,Mayo,Japón,392,2,3,5,"(0.814836,-77.662532)"
2014,Febrero,Argentina,32,5,14,19,"(8.635765,-77.346578)"
2012,Noviembre,Guayana Francesa/Departamento de Ultramar Francés,254,0,1,1,"(4.697144,-74.140516)"
2012,Diciembre,Israel,376,1,0,1,"(11.247723,-74.213989)"
2018,Mayo,Federación de Rusia,643,1,0,1,"(11.360009,-72.129330)"
2022,Noviembre,México,484,8,8,16,"(4.452882,-75.766298)"
2014,Julio,Santa Lucia,662,0,1,1,"(3.541112,-76.384584)"
2019,Enero,Granada,308,0,9,9,"(4.697144,-74.140516)"
2017,Octubre,República de Irlanda,372,1,1,2,"(-4.197703,-69.941278)"
2023,Marzo,Nepal,524,0,10,10,"(4.697144,-74.140516)"
2015,Agosto,Dinamarca,208,1,2,3,"(10.408582,-75.538003)"
2013,Octubre,Paraguay,600,1,2,3,"(0.814836,-77.662532)"
2021,Diciembre,Dinamarca,208,1,0,1,"(4.452882,-75.766298)"
2016,Mayo,Dinamarca,208,5,7,12,"(10.445761,-75.516429)"
2017,Noviembre,Australia,36,27,19,46,"(8.635765,-77.346578)"
2020,Febrero,Líbano,422,1,1,2,"(3.541112,-76.384584)"
2018,Mayo,Brasil,76,1,1,2,"(11.360009,-72.129330)"
2018,Julio,Ecuador,218,36,22,58,"(0.812436,-77.847006)"
2022,Mayo,Suiza,756,0,1,1,"(0.25129,-76.875963)"
2015,Septiembre,El Salvador,222,37,36,73,"(12.586067,-81.702563)"
2018,Octubre,Refugiado Otro,99999,0,1,1,"(4.697144,-74.140516)"
2022,Enero,Guinea Bissau,624,0,1,1,"(4.697144,-74.140516)"
2022,Mayo,Noruega,578,64,90,154,"(4.697144,-74.140516)"
2013,Marzo,México,484,57,128,185,"(3.541112,-76.384584)"
2016,Octubre,India,356,0,10,10,"(11.247723,-74.213989)"
2022,Septiembre,Papúa Nueva Guinea,598,0,1,1,"(4.697144,-74.140516)"
2021,Enero,República de Belarús,112,0,2,2,"(6.171601,-75.427454)"
2013,Noviembre,Perú,604,48,32,80,"(10.408582,-75.538003)"
2013,Junio,Perú,604,14,39,53,"(-4.197703,-69.941278)"
2017,Julio,Filipinas,608,0,1,1,"(11.360009,-72.129330)"
2022,Diciembre,El Salvador,222,3,1,4,"(12.586067,-81.702563)"
2021,Agosto,Alemania,276,3,8,11,"(10.408582,-75.538003)"
2018,Abril,Trinidad y Tobago,780,0,1,1,"(7.818934,-72.453226)"
2021,Noviembre,España,724,0,5,5,"(10.408582,-75.538003)"
2018,Junio,Chile,152,7,15,22,"(10.886611,-74.776708)"
2023,Junio,Brasil,76,1,1,2,"(0.25129,-76.875963)"
2020,Diciembre,Panamá,591,44,74,118,"(10.886611,-74.776708)"
2014,Septiembre,Argentina,32,2,7,9,"(-4.197703,-69.941278)"
2022,Enero,México,484,0,6,6,"(1.813928,-78.763924)"
2015,Febrero,República de Moldavia,498,1,0,1,"(6.171601,-75.427454)"
2012,Octubre,Etiopia,231,1,1,2,"(4.697144,-74.140516)"
2021,Octubre,República de Belarús,112,1,0,1,"(6.171601,-75.427454)"
2017,Marzo,Nueva Zelanda,554,1,1,2,"(13.3387613,-81.372937)"
2015,Noviembre,Emiratos Árabes,784,0,1,1,"(3.541112,-76.384584)"
2014,Marzo,Finlandia,246,0,1,1,"(7.818934,-72.453226)"
